name,Accesion ID,Organism,species,PATRIC,Location,Product Prediction,BiG-SCAPE class,Family Number,Clan Number,Groups,AA_domain_list
NC_020832.1.region005,NC_020832.1,Bacillus subtilis subsp. subtilis str. BAB-1,subtilis,1302650.3,,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP032860.1.region009,NZ_CP032860.1,Bacillus subtilis subsp. subtilis SSJ-1,subtilis,135461.75,South Korea: Jeollanam-do,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035167.1.region005,NZ_CP035167.1,Bacillus subtilis SRCM104008,subtilis,1423.739,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035231.1.region005,NZ_CP035231.1,Bacillus subtilis SRCM103571,subtilis,1423.744,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP021921.1.region005,NZ_CP021921.1,Bacillus subtilis subsp. subtilis SRCM101392,subtilis,135461.51,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP009796.1.region004,NZ_CP009796.1,Bacillus subtilis SG6,subtilis,1423.139,"China: Haidian, Beijing",NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045817.1.region005,CP045817.1,Bacillus subtilis P5_B1,subtilis,1423.881,Denmark:Dyrehave,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035164.1.region005,NZ_CP035164.1,Bacillus subtilis SRCM104005,subtilis,1423.736,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035166.1.region004,NZ_CP035166.1,Bacillus subtilis SRCM103971,subtilis,1423.738,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035165.1.region005,NZ_CP035165.1,Bacillus subtilis SRCM103881,subtilis,1423.737,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP020367.1.region004,NZ_CP020367.1,Bacillus subtilis GQJK2,subtilis,1423.414,"China:Zhongning,Ningxia",NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035191.1.region005,NZ_CP035191.1,Bacillus subtilis SRCM104011,subtilis,1423.740,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP029461.1.region005,NZ_CP029461.1,Bacillus subtilis QB61,subtilis,1423.555,China: Hainan province,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035161.1.region005,NZ_CP035161.1,Bacillus subtilis SRCM103862,subtilis,1423.733,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP040528.1.region004,NZ_CP040528.1,Bacillus subtilis PR10,subtilis,1423.771,China:Hunan Province,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP016894.1.region005,NZ_CP016894.1,Bacillus subtilis HJ0-6,subtilis,1423.292,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_020244.1.region005,NC_020244.1,Bacillus subtilis XF-1,subtilis,1233100.3,,NRPS,NRPS,2044,2044,PPS,"X,ile,glu,pro,val,glu,thr,tyr,orn,glu"
CP045819.1.region005,CP045819.1,Bacillus subtilis MB9_B4,subtilis,1423.873,Denmark:Birkeroed,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035230.1.region003,NZ_CP035230.1,Bacillus subtilis SRCM103551,subtilis,1423.743,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP011534.1.region004,NZ_CP011534.1,Bacillus subtilis UD1022,subtilis,1423.189,"USA: Boulder, Colorado",NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045820.1.region005,CP045820.1,Bacillus subtilis MB9_B1,subtilis,1423.874,Denmark:Birkeroed,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP021123.1.region007,NZ_CP021123.1,Bacillus subtilis SEM-9,subtilis,1423.772,China,NRPS,NRPS,2044,2044,PPS,"glu,orn,tyr,thr,glu,val,pro,glu,tyr,ile,X"
NZ_CP035163.1.region005,NZ_CP035163.1,Bacillus subtilis SRCM103923,subtilis,1423.735,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP013654.1.region004,NZ_CP013654.1,Bacillus subtilis subsp. subtilis BSD-2,subtilis,135461.13,China:Hebie:Handan,NRPS,NRPS,2044,2044,PPS,"glu,orn,tyr,thr,glu,val,pro,glu,tyr,ile,X"
CP045824.1.region005,CP045824.1,Bacillus subtilis MB8_B10,subtilis,1423.875,Denmark:Birkeroed,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035401.1.region005,NZ_CP035401.1,Bacillus subtilis SRCM103837,subtilis,1423.754,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045825.1.region005,CP045825.1,Bacillus subtilis 75,subtilis,1423.877,Germany:Heida,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_017195.1.region004,NC_017195.1,Bacillus subtilis subsp. subtilis str. RO-NN-1,subtilis,1052588.4,,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP007173.1.region005,NZ_CP007173.1,Bacillus subtilis HJ5,subtilis,1453990.4,,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP016767.1.region003,NZ_CP016767.1,Bacillus subtilis CW14,subtilis,1423.433,China: Beijing,NRPS,NRPS,2044,2044,PPS,"glu,orn,tyr,thr,glu,val,pro,glu,tyr,ile,X"
NZ_CP021169.1.region004,NZ_CP021169.1,Bacillus subtilis TLO3,subtilis,1423.418,Algeria: Tlemcen,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn"
CP045823.1.region005,CP045823.1,Bacillus subtilis MB8_B1,subtilis,1423.878,Denmark:Birkeroed,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP021903.1.region005,NZ_CP021903.1,Bacillus subtilis ge28,subtilis,1423.434,China: Jilin province,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035413.1.region005,NZ_CP035413.1,Bacillus subtilis SRCM103629,subtilis,1423.757,South Korea,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP022287.1.region005,NZ_CP022287.1,Bacillus subtilis SX01705,subtilis,1423.437,China:Beijing,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045818.1.region005,CP045818.1,Bacillus subtilis MB9_B6,subtilis,1423.882,Denmark:Birkeroed,NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP017676.1.region008,NZ_CP017676.1,Bacillus subtilis VV2,subtilis,1423.324,"India: Rajakkamangalam, Kanyakumari",NRPS,NRPS,2044,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045821.1.region005,CP045821.1,Bacillus subtilis MB8_B7,subtilis,1423.876,Denmark:Birkeroed,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_019896.1.region007,NC_019896.1,Bacillus subtilis subsp. subtilis str. BSP1,subtilis,1192196.3,,NRPS,NRPS,2550,2044,PPS,"glu,orn,tyr,thr,glu,val,pro,glu,ile,X"
NZ_CP011882.1.region009,NZ_CP011882.1,Bacillus subtilis TO-A JPC,subtilis,1423.180,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
