Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
1001582.3,Bacillus amyloliquefaciens LL3,Bacillus amyloliquefaciens LL3,1001582,Complete,LL3,,,,,,,,2011-04-14T00:00:00Z,21551302,PRJNA64659,SAMN02603189,GCA_000204275.1,,"CP002634,CP002635","NC_017190.1,NC_017189.1","TEDA School of Biological Sciences and Biotechnology, Nankai University",complete,,,,1,1,2,4001985,45.7,4207,4228,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,Project description not provided.,,98.4,97.3,100,0.2,,Good,2014-12-08T22:10:11.351Z,2015-03-16T03:17:09.594Z
1006007.3,Bacillus megaterium WSH-002,Bacillus megaterium WSH-002,1006007,Complete,,,,,,,,,2011-09-02T00:00:00Z,22038958,PRJNA71447,SAMN02603461,GCA_000225265.1,,"CP003018,CP003017,CP003019,CP003020","NC_017138.1,NC_017139.1,NC_017140.1,NC_017141.1","Jiangnan University, State Key Laboratory of Food Science and Technology; Tianjin Biochip Corperation",,,,,1,3,4,5075293,38.19,5372,5274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Genome sequencing of Bacillus megaterium WSH-002, which has been implemented in industrial production of vitamin C.'",,99.4,97.6,100,,,Good,2014-12-08T22:10:17.638Z,2015-03-16T03:17:09.594Z
1034836.4,Bacillus amyloliquefaciens XH7,Bacillus amyloliquefaciens XH7,1034836,Complete,XH7,,,,,,,,2011-07-27T00:00:00Z,21914895,PRJNA67079,SAMN02603869,GCA_000221645.1,,CP002927,NC_017191.1,south china university of technology|Beijing Genomics Institute,complete,,,,1,,1,3939203,45.82,4102,4190,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,98.2,97,99.8,,,Good,2014-12-08T22:10:11.412Z,2015-03-16T03:17:09.594Z
1052585.4,Bacillus subtilis subsp. spizizenii TU-B-10,Bacillus subtilis subsp. spizizenii TU-B-10,1052585,Complete,,,,,MLST.Bacillus_subtilis.8,,,,2011-10-05T00:00:00Z,22493193,PRJNA68561,SAMN02603352,GCA_000227465.1,,CP002905.1,NC_016047.1,,,,,,1,,1,4207222,43.82,4307,4297,,,,,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,-,,99,97.9,100,0.7,,Good,2014-12-08T22:10:20.020Z,2015-03-16T03:17:09.594Z
1052588.4,Bacillus subtilis subsp. subtilis str. RO-NN-1,Bacillus subtilis subsp. subtilis RO-NN-1,1052588,Complete,,,,,MLST.Bacillus_subtilis.49,,,,2011-10-05T00:00:00Z,,PRJNA68559,SAMN02603351,GCA_000227485.1,,CP002906,NC_017195.1,Institute for Genome Sciences,unfinished,,,,1,,1,4011949,43.87,4097,4128,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,Soil isolate,,99.1,98.4,100,,,Good,2014-12-08T22:10:20.216Z,2015-03-16T03:17:09.594Z
10717.12,Bacillus phage phi105,,10717,Complete,,,,,,,,,2013-09-23T00:00:00Z,24009114,,,GCA_002921615.1,,HM072038,,,,,,,1,,1,39318,42.672565,65,52,,,,,,,,,,,,Bacillus subtilis BGSC 1L32,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio,Poor,2019-08-12T13:01:08.463Z,2019-08-12T13:01:08.463Z
10736.6,Bacillus phage phi3T,,10736,Complete,,,,,,,,,2017-01-27T00:00:00Z,28099413,,,GCA_002601445.1,,KY030782,,,,,,,1,,1,128375,34.95852,240,201,,,,,,,,,,,,Bacillus subtilis str. 168,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio,Poor,2018-07-21T05:03:25.878Z,2018-07-21T05:03:25.878Z
1075161.4,Bacillus phage pGIL01,,1075161,Complete,,,,,,,,,2011-08-15T00:00:00Z,12904548,,,GCA_003047535.1,,AJ536073,,,,,,,1,,1,14931,39.729424,32,30,,,,,,,,,,,,Bacillus thuringiensis serovar israelensis,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio,Poor,2019-08-12T15:56:01.851Z,2019-08-12T15:56:01.851Z
10753.7,Bacillus phage Nf,,10753,Complete,,,,,,,,,2009-05-06T00:00:00Z,19207565,,,GCA_002755055.1,,EU622808,,,,,,,1,,1,18753,37.316696,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio,Poor,2018-07-21T08:08:27.143Z,2018-07-21T08:08:27.143Z
10757.6,Bacillus phage PZA,,10757,Complete,,,,,,,,,1996-02-15T00:00:00Z,"393,404,830,951,883,000,000",,,GCA_002755075.1,,M11813,,,,,,,1,,1,19366,39.662296,33,27,,,,,,,,,,,,Bacillus subtilis,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio,Poor,2018-07-21T08:08:27.223Z,2018-07-21T08:08:27.223Z
